пара,день_X,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
AFG-PAK,2026-02-21,Афгано-пакистанская война,z_tone,1.0,13.0,False,26
AFG-PAK,2026-02-21,Афгано-пакистанская война,z_tone,2.0,10.0,False,26
AFG-PAK,2026-02-21,Афгано-пакистанская война,z_vol,1.0,12.0,False,26
AFG-PAK,2026-02-21,Афгано-пакистанская война,z_vol,2.0,10.0,False,26
AFG-PAK,2026-02-21,Афгано-пакистанская война,vol_ratio,1.5,11.0,False,26
AFG-PAK,2026-02-21,Афгано-пакистанская война,vol_ratio,2.5,,False,26
ARM-AZE,2016-04-01,Четырёхдневная война,z_tone,1.0,,False,26
ARM-AZE,2016-04-01,Четырёхдневная война,z_tone,2.0,,False,26
ARM-AZE,2016-04-01,Четырёхдневная война,z_vol,1.0,26.0,True,26
ARM-AZE,2016-04-01,Четырёхдневная война,z_vol,2.0,,False,26
ARM-AZE,2016-04-01,Четырёхдневная война,vol_ratio,1.5,,False,26
ARM-AZE,2016-04-01,Четырёхдневная война,vol_ratio,2.5,,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,z_tone,1.0,21.0,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,z_tone,2.0,,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,z_vol,1.0,5.0,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,z_vol,2.0,5.0,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,vol_ratio,1.5,,False,26
ARM-AZE,2020-07-12,Бои в Товузском районе,vol_ratio,2.5,,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,z_tone,1.0,8.0,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,z_tone,2.0,,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,z_vol,1.0,6.0,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,z_vol,2.0,6.0,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,vol_ratio,1.5,5.0,False,26
ARM-AZE,2020-09-27,Вторая карабахская война,vol_ratio,2.5,,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,z_tone,1.0,15.0,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,z_tone,2.0,,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,z_vol,1.0,23.0,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,z_vol,2.0,15.0,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,vol_ratio,1.5,16.0,False,26
ARM-AZE,2021-05-12,Приграничный кризис 2021,vol_ratio,2.5,,False,26
ARM-AZE,2022-09-12,Столкновения сентября 2022,z_tone,1.0,1.0,False,26
ARM-AZE,2022-09-12,Столкновения сентября 2022,z_tone,2.0,,False,26
ARM-AZE,2022-09-12,Столкновения сентября 2022,z_vol,1.0,4.0,False,26
ARM-AZE,2022-09-12,Столкновения сентября 2022,z_vol,2.0,,False,26
ARM-AZE,2022-09-12,Столкновения сентября 2022,vol_ratio,1.5,4.0,False,26
